Nivel_1;Nivel_2;Nivel_3;Nome_Completo;Descricao
Acesso e Identidade;;;Acesso e Identidade;Categoria Principal: Acesso e Identidade
Acesso e Identidade;Conexão VPN (Acesso Remoto);;Acesso e Identidade > Conexão VPN (Acesso Remoto);Subcategoria: Conexão VPN (Acesso Remoto)
Acesso e Identidade;Conexão VPN (Acesso Remoto);Erro de Conexão ou Autenticação;Acesso e Identidade > Conexão VPN (Acesso Remoto) > Erro de Conexão ou Autenticação;VPN não conecta. Ex: 'Erro de credencial na VPN', 'VPN cai toda hora'.
Acesso e Identidade;Conexão VPN (Acesso Remoto);Instalação e Configuração;Acesso e Identidade > Conexão VPN (Acesso Remoto) > Instalação e Configuração;Instalar cliente VPN (Forticlient/OpenVPN). Ex: 'Instalar VPN no notebook pessoal'.
Acesso e Identidade;Conta de Rede (AD);;Acesso e Identidade > Conta de Rede (AD);Subcategoria: Conta de Rede (AD)
Acesso e Identidade;Conta de Rede (AD);Alteração de Cadastro (Nome, Setor, Perfil);Acesso e Identidade > Conta de Rede (AD) > Alteração de Cadastro (Nome, Setor, Perfil);Mudar dados do usuário. Ex: 'Mudança de sobrenome', 'Mudar setor no AD'.
Acesso e Identidade;Conta de Rede (AD);Criação de Novo Usuário (Admissão);Acesso e Identidade > Conta de Rede (AD) > Criação de Novo Usuário (Admissão);Criar login para novo funcionário. Ex: 'Login para João Silva', 'Criar usuário de rede'.
Acesso e Identidade;Conta de Rede (AD);Desbloqueio de Conta (Senha Incorreta);Acesso e Identidade > Conta de Rede (AD) > Desbloqueio de Conta (Senha Incorreta);Conta travou por tentativas erradas. Ex: 'Conta bloqueada', 'Erro de logon'.
Acesso e Identidade;Conta de Rede (AD);Desligamento ou Bloqueio de Segurança;Acesso e Identidade > Conta de Rede (AD) > Desligamento ou Bloqueio de Segurança;Bloquear acesso de ex-funcionário. Ex: 'Bloquear usuário demitido', 'Desligamento de servidor'.
Acesso e Identidade;Conta de Rede (AD);Reset de Senha de Rede (Windows/Login);Acesso e Identidade > Conta de Rede (AD) > Reset de Senha de Rede (Windows/Login);Usuário esqueceu a senha do Windows. Ex: 'Resetar senha de rede', 'Senha expirada'.
Acesso e Identidade;Pastas de Rede (Dados/Scanner);;Acesso e Identidade > Pastas de Rede (Dados/Scanner);Subcategoria: Pastas de Rede (Dados/Scanner)
Acesso e Identidade;Pastas de Rede (Dados/Scanner);Liberação de Acesso (XX-DADOS, XX-SCANNER);Acesso e Identidade > Pastas de Rede (Dados/Scanner) > Liberação de Acesso (XX-DADOS, XX-SCANNER);Pedir permissão em pasta. Ex: 'Acesso a pasta Financeiro', 'Permissão na G-DADOS'.
Acesso e Identidade;Pastas de Rede (Dados/Scanner);Mapeamento de Unidade (S:, U:, etc);Acesso e Identidade > Pastas de Rede (Dados/Scanner) > Mapeamento de Unidade (S:, U:, etc);Pasta sumiu ou precisa mapear. Ex: 'Mapear unidade S', 'Pasta de rede sumiu'.
